Sign  Position Accuracy
1     17       0.99 
2/V   1        1.00 
3     22       0.99 
4     14       1.00 
5     11       1.00 
6/W   27       0.97 
7     19       0.99 
8     13       1.00 
9     2        1.00 
A     21       0.99 
B     12       1.00 
C     3        1.00 
D     18       0.99 
E     31       0.95 
F     15       1.00 
G     4        1.00 
H     5        1.00 
I     23       0.99 
K     24       0.99 
L     6        1.00 
M     30       0.96 
N     26       0.97 
O     29       0.97 
P     7        1.00 
Q     8        1.00 
R     25       0.98 
S     20       0.99 
T     28       0.97 
U     9        1.00 
X     16       1.00 
Y     10       1.00 

